STATION,NAME,DATE,PRCP,TAVG
PP000092035,"PORT MORESBY W.O., PP",1992-06,1.1,79.6
PP000092035,"PORT MORESBY W.O., PP",1992-07,0.71,79.4
PP000092035,"PORT MORESBY W.O., PP",1992-08,0.47,80.3
PP000092035,"PORT MORESBY W.O., PP",1992-09,0.55,80.9
PP000092035,"PORT MORESBY W.O., PP",1992-10,0.28,81.2
PP000092035,"PORT MORESBY W.O., PP",1992-11,0.28,82.4
PP000092035,"PORT MORESBY W.O., PP",1992-12,6.34,82.4
PP000092035,"PORT MORESBY W.O., PP",1993-01,7.52,81.4
PP000092035,"PORT MORESBY W.O., PP",1993-02,4.21,80.7
PP000092035,"PORT MORESBY W.O., PP",1993-03,1.97,80.8
PP000092035,"PORT MORESBY W.O., PP",1993-04,5.2,80.1
PP000092035,"PORT MORESBY W.O., PP",1993-05,4.25,79.6
PP000092035,"PORT MORESBY W.O., PP",1993-06,0.04,79.8
PP000092035,"PORT MORESBY W.O., PP",1993-07,0.16,80.1
PP000092035,"PORT MORESBY W.O., PP",1993-08,0,78.1
PP000092035,"PORT MORESBY W.O., PP",1993-09,0.31,80.4
PP000092035,"PORT MORESBY W.O., PP",1993-10,1.26,80.1
PP000092035,"PORT MORESBY W.O., PP",1993-11,0.43,82.9
PP000092035,"PORT MORESBY W.O., PP",1993-12,3.11,83.4
PP000092035,"PORT MORESBY W.O., PP",1994-01,3.58,83.4
PP000092035,"PORT MORESBY W.O., PP",1994-02,10.39,81.2
PP000092035,"PORT MORESBY W.O., PP",1994-03,6.38,81.3
PP000092035,"PORT MORESBY W.O., PP",1994-04,4.09,80.8
PP000092035,"PORT MORESBY W.O., PP",1994-05,15.87,80.5
PP000092035,"PORT MORESBY W.O., PP",1994-06,0.16,79.2
PP000092035,"PORT MORESBY W.O., PP",1994-07,0.31,78.5
PP000092035,"PORT MORESBY W.O., PP",1994-08,2.8,78.5
PP000092035,"PORT MORESBY W.O., PP",1994-09,0,78.7
PP000092035,"PORT MORESBY W.O., PP",1994-10,0,81
PP000092035,"PORT MORESBY W.O., PP",1994-11,0.63,82
PP000092035,"PORT MORESBY W.O., PP",1994-12,0.59,82.8
PP000092035,"PORT MORESBY W.O., PP",1995-01,5.12,83.5
PP000092035,"PORT MORESBY W.O., PP",1995-02,11.93,82.2
PP000092035,"PORT MORESBY W.O., PP",1995-03,11.3,81.7
PP000092035,"PORT MORESBY W.O., PP",1995-04,8.62,80.1
PP000092035,"PORT MORESBY W.O., PP",1995-05,4.53,80.5
PP000092035,"PORT MORESBY W.O., PP",1995-06,0.12,80.3
PP000092035,"PORT MORESBY W.O., PP",1995-07,0.12,80.2
PP000092035,"PORT MORESBY W.O., PP",1995-08,1.57,80.5
PP000092035,"PORT MORESBY W.O., PP",1995-09,1.3,80.9
PP000092035,"PORT MORESBY W.O., PP",1995-10,4.33,81.5
PP000092035,"PORT MORESBY W.O., PP",1995-11,0.55,83.5
PP000092035,"PORT MORESBY W.O., PP",1995-12,5.2,82.5
PP000092035,"PORT MORESBY W.O., PP",1996-01,8.23,82.4
PP000092035,"PORT MORESBY W.O., PP",1996-02,6.81,81.3
PP000092035,"PORT MORESBY W.O., PP",1996-03,7.6,81.6
PP000092035,"PORT MORESBY W.O., PP",1996-04,5,81.6
PP000092035,"PORT MORESBY W.O., PP",1996-05,4.72,80.4
PP000092035,"PORT MORESBY W.O., PP",1996-06,0.08,80.7
PP000092035,"PORT MORESBY W.O., PP",1996-07,4.37,78.6
PP000092035,"PORT MORESBY W.O., PP",1996-08,0.08,80
PP000092035,"PORT MORESBY W.O., PP",1996-09,0.75,81.4
PP000092035,"PORT MORESBY W.O., PP",1996-10,3.35,81.9
PP000092035,"PORT MORESBY W.O., PP",1996-11,1.85,82.2
PP000092035,"PORT MORESBY W.O., PP",1996-12,11.46,81.9
PP000092035,"PORT MORESBY W.O., PP",1997-01,7.36,80.9
PP000092035,"PORT MORESBY W.O., PP",1997-02,8.7,81.3
PP000092035,"PORT MORESBY W.O., PP",1997-03,8.07,80.6
PP000092035,"PORT MORESBY W.O., PP",1997-04,1.93,80.1
PP000092035,"PORT MORESBY W.O., PP",1997-05,2.09,79.9
PP000092035,"PORT MORESBY W.O., PP",1997-06,0.04,78.2
PP000092035,"PORT MORESBY W.O., PP",1997-07,0.83,79.3
PP000092035,"PORT MORESBY W.O., PP",1997-08,0,76.8
PP000092035,"PORT MORESBY W.O., PP",1997-09,0.31,78.2
PP000092035,"PORT MORESBY W.O., PP",1997-10,0,79.4
PP000092035,"PORT MORESBY W.O., PP",1997-11,0,81.2
PP000092035,"PORT MORESBY W.O., PP",1997-12,3.46,83.9
PP000092035,"PORT MORESBY W.O., PP",1998-01,3.23,84.1
